Sampleid 	Site	Necropsy	Treat
#q2:types	categorical	categorical	categorical
R1B1	Cecal	First	NC
R1B2	Cecal	First	NC
R1B3	Cecal	First	NC
R1B4	Cecal	First	NC
R1B5	Cecal	First	NC
R1B6	Cecal	First	NC
R2B1	Cecal	First	PC
R2B2	Cecal	First	PC
R2B3	Cecal	First	PC
R2B4	Cecal	First	PC
R3B1	Cecal	First	CP
R3B2	Cecal	First	CP
R3B3	Cecal	First	CP
R3B4	Cecal	First	CP
R3B5	Cecal	First	CP
R3B6	Cecal	First	CP
R4AB1	Cecal	First	CU
R4AB2	Cecal	First	CU
R4AB3	Cecal	First	CU
R4AB4	Cecal	First	CU
R4AB5	Cecal	First	CU
R4BB1	Cecal	First	CM
R4BB2	Cecal	First	CM
R4BB3	Cecal	First	CM
R4BB4	Cecal	First	CM
R4BB5	Cecal	First	CM
R4BB6	Cecal	First	CM
R1B1L	Cecal	Last	NC
R1B2L	Cecal	Last	NC
R1B3L	Cecal	Last	NC
R1B4L	Cecal	Last	NC
R1B5L	Cecal	Last	NC
R1B6L	Cecal	Last	NC
R2B1L	Cecal	Last	PC
R2B2L	Cecal	Last	PC
R2B3L	Cecal	Last	PC
R2B4L	Cecal	Last	PC
R2B5L	Cecal	Last	PC
R2B6L	Cecal	Last	PC
R3B1L	Cecal	Last	CP
R3B2L	Cecal	Last	CP
R3B4L	Cecal	Last	CP
R3B5L	Cecal	Last	CP
R3B6L	Cecal	Last	CP
R4AB1L	Cecal	Last	CU
R4AB2L	Cecal	Last	CU
R4AB3L	Cecal	Last	CU
R4AB4L	Cecal	Last	CU
R4BB1L	Cecal	Last	CM
R4BB2L	Cecal	Last	CM
R4BB3L	Cecal	Last	CM
R4BB4L	Cecal	Last	CM
R4BB5L	Cecal	Last	CM
R4BB6L	Cecal	Last	CM
